state,district,per_affluent,per_middleincome,per_poor
odisha ,jajapur ,12.83,77.23,9.94
odisha ,jharsuguda ,31.01,59.38,9.62
odisha ,kalahandi ,6.1,57.24,36.66
odisha ,kandhamal ,3.62,62.89,33.49
odisha ,kendrapara ,9.06,81,9.94
odisha ,kendujhar ,13.84,56.18,29.99
odisha ,khordha ,28.16,67.53,4.31
odisha ,koraput ,9.12,57.38,33.49
odisha ,malkangiri ,6.49,65.3,28.21
odisha ,mayurbhanj ,7.22,56.68,36.1
odisha ,nabarangapur ,4.5,56.31,39.19
odisha ,nayagarh ,11.45,78.61,9.93
odisha ,nuapada ,8.6,67.74,23.66
odisha ,puri ,14.53,80.18,5.28
odisha ,rayagada ,9.17,61.79,29.04
odisha ,sambalpur ,19.68,67.02,13.31
odisha ,subarnapur ,14.18,69.31,16.51
odisha ,sundargarh ,24.64,59.1,16.26
puducherry ,karaikal ,51.01,48,0.99
puducherry ,mahe ,60.81,39.11,0.08
puducherry ,puducherry ,57.87,41.85,0.29
puducherry ,yanam ,37.77,61.86,0.37
punjab ,amritsar ,69.68,29.46,0.85
punjab ,barnala ,72.55,27.11,0.34
punjab ,bathinda ,73.12,26.4,0.48
punjab ,faridkot ,73.81,25.72,0.47
punjab ,fatehgarh sahib ,81.88,17.98,0.14
punjab ,firozpur ,57.6,41.53,0.86
punjab ,gurdaspur ,70.66,28.69,0.65
punjab ,hoshiarpur ,77.16,22.43,0.41
punjab ,jalandhar ,88.11,11.69,0.2
punjab ,kapurthala ,79.59,17.75,2.66
punjab ,ludhiana ,77.99,21.62,0.38
punjab ,mansa ,63.13,35.69,1.17
punjab ,moga ,67.07,32.47,0.45
punjab ,muktsar ,68.24,31.37,0.39
punjab ,patiala ,78.98,20.8,0.23
punjab ,rupnagar ,81.71,18.26,0.02
punjab ,sahibzada ajit sin ,77.96,21.51,0.53
punjab ,sangrur ,78.57,20.77,0.67
punjab ,shahid bhagat sing ,71.84,27.98,0.18
punjab ,tarn taran ,66.88,32.37,0.75
rajasthan ,ajmer ,52.94,46.09,0.97
rajasthan ,alwar ,40.55,57.03,2.41
rajasthan ,banswara ,12.96,55.34,31.71
rajasthan ,baran ,28.42,64.72,6.86
rajasthan ,barmer ,12.6,61.32,26.09
rajasthan ,bharatpur ,27.65,64.03,8.32
rajasthan ,bhilwara ,39.21,57.21,3.58
rajasthan ,bikaner ,40.95,53.7,5.35
rajasthan ,bundi ,34.92,57.29,7.79
rajasthan ,chittaurgarh ,32.18,63.26,4.56
rajasthan ,churu ,29.91,67.53,2.56
rajasthan ,dausa ,22.95,69.85,7.2
rajasthan ,dhaulpur ,27.62,66.13,6.25
rajasthan ,dungarpur ,13.32,64.71,21.97
rajasthan ,ganganagar ,49.99,46.5,3.51
rajasthan ,hanumangarh ,47.84,47.19,4.97
rajasthan ,jaipur ,54.73,43.56,1.71
rajasthan ,jaisalmer ,21.82,64.74,13.43
rajasthan ,jalor ,18.61,70.09,11.3
rajasthan ,jhalawar ,23.23,70.54,6.23
rajasthan ,jhunjhunun ,50.93,47.28,1.79
rajasthan ,jodhpur ,45.7,48.53,5.76
rajasthan ,karauli ,18.86,73.66,7.48
rajasthan ,kota ,59.93,38.25,1.82
rajasthan ,nagaur ,35.94,59.64,4.41
rajasthan ,pali ,33.45,63.94,2.6
rajasthan ,pratapgarh ,12.96,64.3,22.74
rajasthan ,rajsamand ,24.23,71.63,4.15
rajasthan ,sawai madhopur ,22.13,68.31,9.56
rajasthan ,sikar ,49.58,49.13,1.29
rajasthan ,sirohi ,25.5,63.01,11.48
rajasthan ,tonk ,39.85,57.2,2.95
rajasthan ,udaipur ,22.95,58.38,18.67
sikkim ,east district ,15.25,83.23,1.51
sikkim ,north  district ,7.64,90.96,1.4
sikkim ,south district ,9.63,89.51,0.86
sikkim ,west district ,4.93,93.58,1.49
tamil nadu ,ariyalur ,14.91,83.52,1.56
tamil nadu ,chennai ,71.94,28.03,0.04
tamil nadu ,coimbatore ,39.06,60.6,0.34
tamil nadu ,cuddalore ,26.73,72.18,1.09
tamil nadu ,dharmapuri ,25.21,74.08,0.71
tamil nadu ,dindigul ,19.33,78.57,2.1
tamil nadu ,erode ,30.01,69.25,0.73
tamil nadu ,kancheepuram ,57.65,42.12,0.24
tamil nadu ,kanniyakumari ,39.98,59.54,0.48
tamil nadu ,karur ,30.79,68.53,0.68
tamil nadu ,krishnagiri ,29.21,70.15,0.64
tamil nadu ,madurai ,34.22,64.82,0.96
tamil nadu ,nagapattinam ,22.11,76.82,1.07
tamil nadu ,namakkal ,30.25,69.21,0.53
tamil nadu ,perambalur ,27.97,70.93,1.1
tamil nadu ,pudukkottai ,22.46,76.12,1.43
tamil nadu ,ramanathapuram ,25.05,73.45,1.5
tamil nadu ,salem ,32.28,66.69,1.03
tamil nadu ,sivaganga ,31.56,66.42,2.03
tamil nadu ,thanjavur ,24.79,72.62,2.59
tamil nadu ,the nilgiris ,14.6,84.32,1.08
tamil nadu ,theni ,20.5,76.76,2.74
tamil nadu ,thiruvallur ,53.19,46.38,0.43
tamil nadu ,thiruvarur ,19.23,78.93,1.84
tamil nadu ,thoothukkudi ,25.27,73.23,1.5
tamil nadu ,tiruchirappalli ,37.33,61.95,0.72
tamil nadu ,tirunelveli ,18.54,79.73,1.72
tamil nadu ,tiruppur ,29.4,70.37,0.23
tamil nadu ,tiruvannamalai ,20.19,78.28,1.53
tamil nadu ,vellore ,44.97,54.31,0.73
tamil nadu ,viluppuram ,24.21,74.67,1.12
tamil nadu ,virudhunagar ,18.05,80.5,1.46
telangana ,adilabad ,18.21,74.52,7.27
telangana ,hyderabad ,55.59,44.41,0
telangana ,karimnagar ,24.02,73.71,2.27
telangana ,khammam ,26.25,68.74,5.01
telangana ,mahbubnagar ,13.25,83.19,3.55
telangana ,medak ,13.09,83.47,3.45
telangana ,nalgonda ,22.56,73.88,3.55
telangana ,nizamabad ,17.24,79.47,3.3
telangana ,rangareddy ,46.57,52.52,0.92
telangana ,warangal ,16.44,78.91,4.65
tripura ,dhalai ,3.29,78.15,18.55
tripura ,north tripura ,8.51,72.87,18.62
tripura ,south tripura ,5.12,83.07,11.8
tripura ,west tripura ,14.35,79.54,6.11
uttar pradesh ,agra ,33.58,60.84,5.58
uttar pradesh ,aligarh ,27.52,61.88,10.6
uttar pradesh ,allahabad ,27.23,55.87,16.9
uttar pradesh ,ambedkar nagar ,8.37,71.44,20.19
uttar pradesh ,auraiya ,15.73,58.55,25.71
uttar pradesh ,azamgarh ,12.63,73.51,13.85
uttar pradesh ,baghpat ,43.74,49.65,6.6
uttar pradesh ,bahraich ,4.79,38.69,56.53
